Color,Satisfaction,Children,Temperature
Green,Medium,2,33.2
Yellow,Low,4,29.6
Red,Medium,5,28.7
Yellow,Low,4,32.4
Green,Medium,0,26.1
Red,Medium,1,24.8
Yellow,Medium,3,30.0
Yellow,Medium,2,28.8
Green,Medium,3,31.7
Red,Medium,1,33.3
Green,Medium,2,31.6
Red,Low,1,33.0
Purple,Medium,1,31.0
Blue,Medium,1,31.5
Blue,Medium,3,29.7
Blue,Medium,5,31.4
Green,Low,2,30.5
Purple,Low,3,31.0
Red,High,3,29.5
Yellow,Medium,3,32.4
Red,Medium,3,27.9
Yellow,High,2,29.9
Red,Low,0,33.9
Purple,High,1,27.2
Yellow,Medium,3,23.5
Red,Medium,2,29.2
Yellow,Medium,3,29.6
Green,High,2,28.2
Green,Medium,2,29.8
Purple,High,1,33.3
Green,Medium,3,31.7
Green,High,2,22.7
Green,Medium,3,30.6
Blue,Low,3,30.7
Purple,Low,1,29.9
Red,Low,1,28.2
Yellow,Low,2,33.6
Red,Low,0,33.7
Purple,Medium,0,23.4
Yellow,Medium,3,27.6
Green,High,3,32.8
Yellow,Medium,2,30.1
Green,High,0,27.9
Red,High,0,32.1
Red,Medium,1,29.4
Yellow,Medium,1,29.6
Yellow,Medium,2,29.9
Purple,Medium,2,31.7
Purple,Medium,3,29.1
Green,Medium,3,32.1
Yellow,High,0,29.8
Red,High,6,26.8
